time/fps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/learning_rate,train/loss,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/approx_kl,train/std,train/clip_range
3470,125.2136667184187,117,46.7,69,1812480,0.0001,18.600645065307617,0.9609244465827942,0.031399836763739586,36.91318321228027,0.26171875,1935,32.096920013427734,0.040532142,0.07999999076128006,0.2
3470,126.59091370963473,118,47.23,69,1814528,0.0001,19.8000545501709,0.9577245116233826,0.023861012887209654,34.69365215301514,0.259765625,1936,32.096920013427734,0.038162548,0.07999999076128006,0.2
3471,126.28268980005123,119,47.18,70,1816576,0.0001,21.75946617126465,0.9614640474319458,0.010636146180331707,39.30672264099121,0.220703125,1937,32.096920013427734,0.01920582,0.07999999076128006,0.2
3472,126.38689066779021,120,47.26,70,1818624,0.0001,33.02285385131836,0.9097822308540344,0.01906961388885975,86.54548645019531,0.20703125,1938,32.096920013427734,0.015827408,0.07999999076128006,0.2
3472,121.07640716675007,121,45.33,71,1820672,0.0001,31.131938934326172,0.9265193343162537,0.004019696265459061,68.81141090393066,0.19921875,1939,32.096920013427734,0.015425901,0.07999999076128006,0.2
3473,118.34737981439079,122,44.37,71,1822720,0.0001,93.34574127197266,0.8352519869804382,0.009555534149209658,124.85391743977864,0.3046875,1940,32.096920013427734,0.038350333,0.07999999076128006,0.2
3473,117.8665619006845,123,44.3,72,1824768,0.0001,78.38038635253906,0.8242195844650269,0.01254181501766046,227.37957763671875,0.22135416666666666,1941,32.096920013427734,0.021132305,0.07999999076128006,0.2
3473,106.45392609101795,124,40.11,73,1826816,0.0001,55.17330551147461,0.8086980581283569,0.0076139867305755615,156.72194163004556,0.19921875,1942,32.096920013427734,0.014179115,0.07999999076128006,0.2
3474,100.56127296399842,125,37.96,73,1828864,0.0001,152.2823028564453,0.5626637935638428,0.010246052406728268,408.8543014526367,0.203125,1943,32.096920013427734,0.018712196,0.07999999076128006,0.2
3474,103.06762493039652,126,38.9,74,1830912,0.0001,152.47946166992188,0.6277516484260559,0.005838779360055923,350.3767028808594,0.1640625,1944,32.096920013427734,0.01282121,0.07999999076128006,0.2
3474,112.39939044059957,127,42.35,74,1832960,0.0001,113.9466323852539,0.6810131072998047,0.012202192097902298,276.4926300048828,0.17252604166666666,1945,32.096920013427734,0.015914014,0.07999999076128006,0.2
3475,123.60068444383447,128,46.48,75,1835008,0.0001,92.86720275878906,0.8341405987739563,-0.00042511383071541786,141.00157165527344,0.2001953125,1946,32.096920013427734,0.017459502,0.07999999076128006,0.2
