rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/policy_gradient_loss,train/loss,train/clip_fraction,train/value_loss,train/approx_kl,train/learning_rate,train/clip_range,train/n_updates,train/entropy_loss,train/explained_variance,train/std
130.26,339.44870856209593,1314816,4664,130,57,0.009727433323860168,102.05763244628906,0.25390625,235.50601959228516,0.024090284,0.0001,0.2,1665,32.096920013427734,0.9347923994064331,0.07999999076128006
132.33,345.36890751737576,1316864,4664,131,57,0.009640352800488472,110.30465698242188,0.181640625,204.4082260131836,0.015088759,0.0001,0.2,1666,32.096920013427734,0.9446730613708496,0.07999999076128006
129.99,338.03928414390356,1318912,4665,132,57,0.002745607867836952,140.30734252929688,0.203125,261.06153106689453,0.015457332,0.0001,0.2,1667,32.096920013427734,0.9529730081558228,0.07999999076128006
128.61,334.1921847478714,1320960,4665,133,58,0.039611478646596275,100.54947662353516,0.2513020833333333,238.96305338541666,0.030253647,0.0001,0.2,1668,32.096920013427734,0.9473022818565369,0.07999999076128006
126.93,328.3868297423108,1323008,4666,134,58,0.011614182343085607,59.06318283081055,0.20182291666666666,155.78882344563803,0.020340908,0.0001,0.2,1669,32.096920013427734,0.9588916897773743,0.07999999076128006
125.42,323.04088742152317,1325056,4666,135,59,0.020518094611664612,136.40135192871094,0.22135416666666666,243.99628194173178,0.023208661,0.0001,0.2,1670,32.096920013427734,0.9452196359634399,0.07999999076128006
122.17,312.89326223983585,1327104,4666,136,59,0.014524954992036024,98.69763946533203,0.1875,204.38961791992188,0.016364643,0.0001,0.2,1671,32.096920013427734,0.9530224204063416,0.07999999076128006
122.06,312.5246693725549,1329152,4667,137,60,0.012653426849283278,129.57098388671875,0.255859375,256.3362693786621,0.025609672,0.0001,0.2,1672,32.096920013427734,0.9452019929885864,0.07999999076128006
122.43,312.99353452947094,1331200,4667,138,60,0.00947560416534543,102.30630493164062,0.19140625,191.57953262329102,0.01592364,0.0001,0.2,1673,32.096920013427734,0.9490524530410767,0.07999999076128006
123.66,316.2353552962719,1333248,4667,139,60,0.028086639009416103,85.57325744628906,0.23828125,194.7384033203125,0.018267572,0.0001,0.2,1674,32.096920013427734,0.9580433368682861,0.07999999076128006
124.2,317.3857976736167,1335296,4667,140,61,0.01765553969889879,125.30335998535156,0.2375,228.57777099609376,0.021189611,0.0001,0.2,1675,32.096920013427734,0.92470383644104,0.07999999076128006
122.96,313.8498446204692,1337344,4668,141,61,0.003838188791026672,105.1399917602539,0.1484375,212.8344268798828,0.014945698,0.0001,0.2,1676,32.096920013427734,0.9486659169197083,0.07999999076128006
122.39,311.8414231818392,1339392,4668,142,62,0.024515112116932868,145.16310119628906,0.21796875,293.7510559082031,0.018638263,0.0001,0.2,1677,32.096920013427734,0.9222463369369507,0.07999999076128006
121.04,308.21947387520805,1341440,4668,143,62,0.008124523982405662,97.80144500732422,0.17109375,251.27774047851562,0.012985611,0.0001,0.2,1678,32.096920013427734,0.9467080235481262,0.07999999076128006
119.13,303.0121006783853,1343488,4668,144,63,0.014648466929793358,117.51937866210938,0.19375,241.4503631591797,0.01612996,0.0001,0.2,1679,32.096920013427734,0.9445498585700989,0.07999999076128006
117.92,299.57061599464765,1345536,4669,145,63,0.003987329313531518,87.51392364501953,0.1533203125,229.484130859375,0.012783321,0.0001,0.2,1680,32.096920013427734,0.9499460458755493,0.07999999076128006
116.86,296.5575571239388,1347584,4669,146,64,0.018153823912143707,130.60414123535156,0.2197265625,299.5513381958008,0.019337036,0.0001,0.2,1681,32.096920013427734,0.9054012298583984,0.07999999076128006
117.55,297.97874399875474,1349632,4669,147,64,0.012971841264516115,100.1750259399414,0.1953125,170.37508010864258,0.015743501,0.0001,0.2,1682,32.096920013427734,0.9553540945053101,0.07999999076128006
117.83,299.3210564825052,1351680,4668,148,64,0.026262845223148663,132.52496337890625,0.22135416666666666,259.14833577473956,0.0187976,0.0001,0.2,1683,32.096920013427734,0.9358323216438293,0.07999999076128006
117.66,298.5507445399629,1353728,4666,149,65,0.013165047857910395,122.72779846191406,0.2080078125,262.28162002563477,0.018633608,0.0001,0.2,1684,32.096920013427734,0.9329388737678528,0.07999999076128006
118.65,301.59373699743605,1355776,4666,150,65,0.012921836052555591,127.25959014892578,0.1513671875,228.7493782043457,0.012301766,0.0001,0.2,1685,32.096920013427734,0.949333131313324,0.07999999076128006
116.16,294.1683824829359,1357824,4666,151,66,0.0020097587257623672,106.64537048339844,0.203125,262.5932846069336,0.01664127,0.0001,0.2,1686,32.096920013427734,0.9382981657981873,0.07999999076128006
