time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,train/std,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/n_updates,train/clip_range,train/value_loss,train/entropy_loss,train/loss,train/learning_rate
1230848,183,391.88218504872464,345,147.1,3851,0.45859357714653015,0.2673828125,-0.033447351888753474,0.035611823,0.9198068380355835,3000,0.2,74.92511563301086,-18.48111228942871,55.436946868896484,0.0003
1232896,183,392.9735850482426,346,147.34,3851,0.45976611971855164,0.5890625,0.004572943539824337,0.5873159,0.8699519634246826,3005,0.2,27.176252722740173,-18.51488103866577,10.128745079040527,0.0003
1234944,184,394.05549942477774,347,147.34,3851,0.46024101972579956,0.78720703125,0.04313641134649515,0.2847797,0.6917482018470764,3010,0.2,32.904997849464415,-18.573455476760863,11.396329879760742,0.0003
1236992,185,397.55554795971403,348,148.15,3851,0.46084529161453247,0.48837890625,-0.028897099278401582,0.09431304,0.9026305675506592,3015,0.2,22.922339057922365,-18.603063774108886,9.397381782531738,0.0003
1239040,185,398.28131638517004,349,148.49,3851,0.46102064847946167,0.42666015625,-0.012843114673160017,0.04356628,0.8442577123641968,3020,0.2,78.21604614257812,-18.634346342086793,29.59939956665039,0.0003
1241088,186,394.6709223240729,350,147.57,3852,0.46120011806488037,0.25576171875,-0.029763637570431455,0.023518976,0.909611165523529,3025,0.2,84.4770869255066,-18.643449115753175,23.248611450195312,0.0003
1243136,186,393.4481238570365,351,147.15,3852,0.4614616334438324,0.26357421875,-0.03247600375325419,0.027465656,0.9559762477874756,3030,0.2,91.84639205932618,-18.65794496536255,39.2899169921875,0.0003
1245184,187,394.1519146176104,352,147.48,3852,0.46163100004196167,0.33466796875,-0.028806035791058095,0.04481826,0.9460844993591309,3035,0.2,46.60776274204254,-18.67036952972412,6.3421149253845215,0.0003
1247232,187,394.1391177878128,353,147.48,3853,0.4620440602302551,0.55556640625,-0.017169989267131314,0.17641559,0.9632572531700134,3040,0.2,32.1079758644104,-18.68666253089905,16.092439651489258,0.0003
1249280,188,393.8508327442908,354,147.48,3853,0.46260708570480347,0.503125,-0.02202788260765374,0.10283226,0.711697518825531,3045,0.2,39.056882810592654,-18.721301555633545,11.721471786499023,0.0003
1251328,188,392.0879451600875,355,146.99,3853,0.4628082513809204,0.3443359375,-0.025886571500450373,0.030338787,0.7812775373458862,3050,0.2,83.36707773208619,-18.74429597854614,12.32472038269043,0.0003
1253376,189,393.27567693300693,356,146.99,3853,0.46319323778152466,0.4240234375,-0.01566060569602996,0.071467,0.9033331274986267,3055,0.2,65.32010362148284,-18.76123571395874,29.548076629638672,0.0003
1255424,189,396.8980899518459,357,147.91,3854,0.4635574519634247,0.44208984375,-0.03218203235883266,0.0628639,0.2710251808166504,3060,0.2,53.17373423576355,-18.782592582702637,28.052663803100586,0.0003
1257472,190,400.3097555649872,358,148.99,3854,0.46390920877456665,0.48857421875,-0.01968857500469312,0.067432806,0.9403256773948669,3065,0.2,38.047584366798404,-18.806186199188232,11.609491348266602,0.0003
1259520,190,398.2310705216536,359,148.3,3854,0.46424031257629395,0.28037109375,-0.03220824336167425,0.026135836,0.8806139230728149,3070,0.2,103.03408823013305,-18.82848916053772,38.052391052246094,0.0003
1261568,191,397.5767865715188,360,147.95,3854,0.464265912771225,0.23388671875,-0.03261857179459184,0.024237659,0.958650529384613,3075,0.2,102.3073305130005,-18.841912984848022,36.38563537597656,0.0003
1263616,191,392.941742610838,361,146.37,3855,0.4643750786781311,0.1224609375,-0.030705219646915794,0.0148972925,0.8499137163162231,3080,0.2,369.6269931793213,-18.84355435371399,117.73674774169922,0.0003
1265664,192,389.9992804632157,362,145.52,3855,0.46445778012275696,0.14482421875,-0.02897048108279705,0.015765693,0.8838611841201782,3085,0.2,365.7502155303955,-18.850568532943726,150.1086883544922,0.0003
1267712,192,385.6866264713029,363,144.27,3855,0.46464595198631287,0.1857421875,-0.038895459461491554,0.02370273,0.9136031866073608,3090,0.2,266.65955390930174,-18.859249973297118,109.70064544677734,0.0003
1269760,193,383.866032305371,364,143.91,3855,0.46497783064842224,0.1953125,-0.03476627323543653,0.024482386,0.9147871732711792,3095,0.2,149.11145572662355,-18.872736549377443,82.67535400390625,0.0003
1271808,193,385.31767008715417,365,144.19,3855,0.46527236700057983,0.33408203125,-0.043914417049381885,0.046817686,0.9152284860610962,3100,0.2,75.2311297416687,-18.896347951889037,34.25883483886719,0.0003
1273856,194,386.94327885541236,366,144.45,3855,0.46529269218444824,0.23671875,-0.03396191891515628,0.023574844,0.8737609386444092,3105,0.2,146.12669849395752,-18.904389762878417,49.003482818603516,0.0003
1275904,194,384.5432653940615,367,144.0,3855,0.4655407667160034,0.28095703125,-0.036647252086549995,0.037058637,0.9282978773117065,3110,0.2,80.60749769210815,-18.912099647521973,22.58839988708496,0.0003
1277952,195,385.63235579439066,368,144.41,3856,0.46566569805145264,0.25205078125,-0.03695528255775571,0.028299522,0.9393894076347351,3115,0.2,107.73793888092041,-18.924031209945678,47.856868743896484,0.0003
1280000,195,386.83588504915036,369,144.77,3856,0.46585923433303833,0.26083984375,-0.03655680456431583,0.022422984,0.9331706762313843,3120,0.2,187.1895234107971,-18.932560443878174,26.37186050415039,0.0003
1282048,196,390.8970352046314,370,145.71,3856,0.46631553769111633,0.33837890625,-0.03881119928555563,0.060149275,0.9538795351982117,3125,0.2,55.26526827812195,-18.95077600479126,19.320283889770508,0.0003
1284096,197,392.3686079169503,371,145.81,3856,0.4666783809661865,0.52060546875,-0.021878300211392344,0.08554807,0.644904613494873,3130,0.2,51.764568996429446,-18.976942348480225,10.279656410217285,0.0003
1286144,197,387.6633844150042,372,144.37,3857,0.46686992049217224,0.29072265625,-0.03072425222489983,0.025672894,0.8739563226699829,3135,0.2,163.77943668365478,-18.997372674942017,72.02104949951172,0.0003
